INSEE_COM;NOM_COM;NOM_DEPT;NOM_REG;Code_postal
13201;MARSEILLE-1ER-ARRONDISSEMENT;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;13001
85045;LA CHAIZE-GIRAUD;VENDEE;PAYS DE LA LOIRE;85220
35129;GUIPRY;ILLE-ET-VILAINE;BRETAGNE;
48055;CULTURES;LOZERE;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;48230
1043;BEYNOST;AIN;AUVERGNE-RHONE-ALPES;1700
4109;MALLEFOUGASSE-AUGES;ALPES-DE-HAUTE-PROVENCE;PROVENCE-ALPES-COTE D'AZUR;4230
65238;LABASSERE;HAUTES-PYRENEES;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;65200
16396;VENTOUSE;CHARENTE;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;16460
80547;MILLENCOURT;SOMME;NORD-PAS-DE-CALAIS-PICARDIE;80300
33033;BAURECH;GIRONDE;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;33880
32197;LARROQUE-SUR-L'OSSE;GERS;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;32100
37224;SAINT-LAURENT-EN-GATINES;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;37380
63379;SAINT-MYON;PUY-DE-DOME;AUVERGNE-RHONE-ALPES;63460
80405;HAILLES;SOMME;NORD-PAS-DE-CALAIS-PICARDIE;80440
42195;SAIL-SOUS-COUZAN;LOIRE;AUVERGNE-RHONE-ALPES;42890
22346;TREDANIEL;COTES-D'ARMOR;BRETAGNE;22510
4236;VERGONS;ALPES-DE-HAUTE-PROVENCE;PROVENCE-ALPES-COTE D'AZUR;4170
2B319;TALASANI;HAUTE-CORSE;CORSE;20230
33337;PREIGNAC;GIRONDE;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;33210
65411;SASSIS;HAUTES-PYRENEES;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;65120
22103;LANGROLAY-SUR-RANCE;COTES-D'ARMOR;BRETAGNE;22490
25241;FLAGEY;DOUBS;BOURGOGNE-FRANCHE-COMTE;25330
38536;VERNIOZ;ISERE;AUVERGNE-RHONE-ALPES;38150
63436;TRALAIGUES;PUY-DE-DOME;AUVERGNE-RHONE-ALPES;63380
88332;NORROY;VOSGES;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;88800
54285;JUVRECOURT;MEURTHE-ET-MOSELLE;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;54370
38462;SAINT-THEOFFREY;ISERE;AUVERGNE-RHONE-ALPES;38119
16148;GENAC;CHARENTE;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;16170
16148;GENAC;CHARENTE;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;16170
39328;MEUSSIA;JURA;BOURGOGNE-FRANCHE-COMTE;39260
80718;SAINT-SAUVEUR;SOMME;NORD-PAS-DE-CALAIS-PICARDIE;80470
79128;FRANCOIS;DEUX-SEVRES;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;79260
62325;FAUQUEMBERGUES;PAS-DE-CALAIS;NORD-PAS-DE-CALAIS-PICARDIE;62560
